CENTRALWAVELNG,PL_TRANDEP
1.66294,1.8423
1.66392,1.79732
1.6649,1.8512
1.66588,1.80817
1.66686,1.85654
1.66784,1.9126
1.66882,1.84634
1.66981,1.87554
1.67079,1.85801
1.67177,1.92974
1.67275,1.86289
1.67373,1.93282
1.67471,1.91985
1.67569,1.84175
1.67667,1.85094
1.67765,1.85978
1.67863,1.87481
1.67961,1.87468
1.68059,1.86935
1.68157,1.89129
1.68255,1.89154
1.68353,1.90491
1.68451,1.90368
1.6855,1.82253
1.68648,1.91656
1.68746,1.87149
1.68844,1.87078
1.68942,1.85717
1.6904,1.91316
1.69138,1.93046
